fiscal_year,month,state,volume,volume_contribution,value,value_contribution,units,notes
2025-26,January,Andaman and Nicobar Islands,4.69,0.02,766.8,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Andhra Pradesh,628.21,2.89,108045.08,3.81,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Arunachal Pradesh,21.62,0.1,2929.79,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Assam,225.91,1.04,25109.2,0.89,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Bihar,457.93,2.11,66830.36,2.36,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Chandigarh,26.97,0.12,3590.15,0.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Chhattisgarh,148.11,0.68,19980.27,0.71,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Dadra and Nagar Haveli and Daman and Diu,11.55,0.05,1277.67,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Delhi,513.35,2.37,68286.14,2.41,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Goa,40.35,0.19,6064.79,0.21,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Gujarat,568.86,2.62,88272.48,3.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Haryana,413.35,1.9,61236.56,2.16,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Himachal Pradesh,60.3,0.28,8159.92,0.29,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Jammu and Kashmir,83.76,0.39,11368.46,0.4,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Jharkhand,188.64,0.87,25461.44,0.9,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Karnataka,1165.05,5.37,164652.55,5.81,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Kerala,460.69,2.12,64883.42,2.29,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Ladakh,2.79,0.01,495.82,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Lakshadweep,0.71,0.0,78.77,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,January,Madhya Pradesh,475.09,2.19,65429.2,2.31,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
